Table name,Field name,Data type,Decimal digits,Field size,Column start,Column end,Description,Codes,Changes,Hand book section,Notes
BIOMASS,HERB_DRY_WEIGHT,numeric,,5,52,56,Total dry weight in grams for herbaceous species on the subplot,,,15.5.2,
BIOMASS,WOODY_GREEN_WEIGHT,numeric,1,6,58,63,Total greeen weight in kilograms for woody species on the subplot,,,15.5.2,
BIOMASS,WOODY_SAMPLE_GREEN_WEIGHT,numeric,,5,65,69,Sub sample green weight in grams for woody species on the subplot,,,15.5.2,
BIOMASS,WOODY_SAMPLE_DRY_WEIGHT,numeric,,5,71,75,Sub sample dry weight in grams for woody species on the subplot,,,15.5.2,
BIOMASS,WOODY_DRY_WEIGHT,numeric,1,6,77,82,Total dry weight in kilograms for woody species on the subplot,,,15.5.2,
CONCERN,SURVEY,numeric,,4,1,4,Sample survey year,,,,
CONCERN,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
CONCERN,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
CONCERN,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
CONCERN,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
CONCERN,EROSION_SHEET_AND_RILL,character,,1,25,25,Soil; Erosion; Sheet & Rill,yn,,17.5,
CONCERN,EROSION_WIND,character,,1,27,27,Soil; Erosion; Wind,yn,,17.5,
CONCERN,EROSION_CLASSIC_GULLY,character,,1,29,29,Soil; Erosion; Classic Gully,yn,,17.5,
CONCERN,EROSION_STREAMBANK,character,,1,31,31,Soil; Erosion; Streambank,yn,,17.5,
CONCERN,EROSION_SHORELINE,character,,1,33,33,Soil; Erosion; Shoreline,yn,,17.5,
CONCERN,EROSION_MASS_MOVEMENT,character,,1,35,35,Soil; Erosion; Mass Movement,yn,,17.5,
CONCERN,ORGANIC_MATTER_DEPLETION,character,,1,37,37,Soil; Condition; Organic Matter Depletion,yn,,17.5,
CONCERN,COMPACTION,character,,1,39,39,Soil; Condition; Compaction,yn,,17.5,
CONCERN,CONTAMINANTS_SALTS,character,,1,41,41,Soil; Condition; Contaminants - Salts,yn,,17.5,Not collected after 2014
CONCERN,CONTAMINANTS_WASTES_ORGANICS,character,,1,43,43,"Soil; Condition; Contaminants - Animal Wastes, Organics",yn,,17.5,Not collected after 2014
CONCERN,DAMAGE_FROM_SOIL_DEPOSITION,character,,1,45,45,Soil; Condition; Damage From Soil Deposition,yn,,17.5,
CONCERN,EXCESSIVE_RUNOFF_FLOODING_POND,character,,1,47,47,"Soil; Quantity; Excessive Runoff, Flooding, or Ponding",yn,,17.5,
CONCERN,REDUCED_STORAGE_BY_SEDIMENT,character,,1,49,49,Soil; Quantity; Reduced Storage of Water-bodies by Sediment Accumulation,yn,,17.5,
CONCERN,INSUFFICIENT_FLOWS,character,,1,51,51,Water; Quality; Insufficient Flows in Water Courses,yn,,17.5,
CONCERN,EXCESSIVE_NUTRIENTS_ORGANICS,character,,1,53,53,Water; Quality; Excessive Nutrients and Organics in Surface Water,yn,,17.5,
CONCERN,EXCESSIVE_SEDIMENT_TURBIDITY,character,,1,55,55,Water; Quality; Excessive Suspended Sediment and Turbidity in Surface Water,yn,,17.5,
CONCERN,PLANT_NOT_ADAPTED_OR_SUITED,character,,1,57,57,Plant; Condition; Plant Not Adapted or Suited,yn,,17.5,
CONCERN,PRODUCTIVITY_HEALTH_AND_VIGOR,character,,1,59,59,"Plant; Condition; Productivity, Health and Vigor",yn,,17.5,
CONCERN,NOXIOUS_AND_INVASIVE_PLANTS,character,,1,61,61,Plant; Condition; Noxious and Invasive Plants,yn,,17.5,
CONCERN,FORAGE_QUALITY_PALATABILITY,character,,1,63,63,Plant; Condition; Forage Quality and Palatability,yn,,17.5,
CONCERN,WILDFIRE_HAZARD,character,,1,65,65,Plant; Condition; Wildfire Hazard,yn,,17.5,
CONCERN,INADEQUATE_STOCK_WATER,character,,1,67,67,Animal; Domestic Animal; Inadequate Stock Water,yn,,17.5,
CONDITION,SURVEY,numeric,,4,1,4,Sample survey year,,,,
CONDITION,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
CONDITION,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
CONDITION,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
CONDITION,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
CONDITION,DESIRABLE_PLANTS,numeric,,1,25,25,Percent desirable plants,5-Jan,,21.5,
CONDITION,PLANT_VIGOR,numeric,,1,27,27,Plant vigor,5-Jan,,21.5,
CONDITION,PERCENT_LEGUME,numeric,,1,29,29,Percent legume,5-Jan,,21.5,
CONDITION,UNIFORMITY_USE,numeric,,1,31,31,Uniformity of use,5-Jan,,21.5,
CONDITION,LIVESTOCK_CONCENTRATION,numeric,,1,33,33,Livestock concentration areas,5-Jan,,21.5,
CONDITION,SOIL_COMPACTION,numeric,,1,35,35,Soil compaction,5-Jan,,21.5,
CONDITION,SHEET_RILL_EROSION,numeric,,1,37,37,Sheet and rill erosion,5-Jan,,21.5,
CONDITION,WIND_EROSION,numeric,,1,39,39,Wind erosion,0-5,,21.5,0 allowed starting in 2015
CONDITION,STREAMBANK_EROSION,numeric,,1,41,41,Streambank or shoreline erosion,0-5,,21.5,
CONDITION,GULLY_EROSION,numeric,,1,43,43,Gully erosion,0-5,,21.5,
CONDITION,SEVERITY,numeric,,1,45,45,Severity of use,5-Jan,,21.5,
CONDITION,ADAPTION,numeric,,1,47,47,Site adaptation of desired species,5-Jan,,21.5,
CONDITION,CLIMATIC_STRESSES,numeric,,1,49,49,Climatic stresses,5-Jan,,21.5,
CONDITION,PRESSURE,numeric,,1,51,51,Insect and/or disease pressure,5-Jan,,21.5,
CONDITION,PLANT_COVER,numeric,,1,53,53,Plant cover,5-Jan,Added for 2015,21.5,
CONDITION,PLANT_DIVERSITY,numeric,,1,55,55,Plant diversity,5-Jan,Added for 2015,21.5,
CONDITION,PLANT_RESIDUE,numeric,,1,57,57,Plant residue,5-Jan,Added for 2015,21.5,
CONDITION,PASTURE_SCORE,numeric,,2,59,60,Pasture condition score,Oct-50,Added for 2015,21.5,
COUNTYNM,STATE,numeric,,2,1,2,Numerical FIPS state code,,,,
COUNTYNM,COUNTY,numeric,,3,4,6,Numerical FIPS county code,,,,
COUNTYNM,COUNTYNM,character,,25,8,32,County name,,,,
DISTURBANCE,SURVEY,numeric,,4,1,4,Sample survey year,,,,
DISTURBANCE,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
DISTURBANCE,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
DISTURBANCE,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
DISTURBANCE,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
DISTURBANCE,PASTPRES,character,,9,25,33,Past or Present,pastpres,,19.5,
DISTURBANCE,CULTIVATION,character,,1,35,35,"Cultivation (plowing, disking, cultivator, chisel plow, etc.)",yn,,19.5,
DISTURBANCE,MOWING,character,,1,37,37,Mowing (clipping),yn,,19.5,
DISTURBANCE,HAY_REMOVAL,character,,1,39,39,Hay removal,yn,,19.5,
DISTURBANCE,HEAVY_MACHINERY,character,,1,41,41,Heavy machinery (soil disturbance from),yn,,19.5,
DISTURBANCE,SEEDBED_PREPARATION,character,,1,43,43,"Seedbed preparation (tillage implements, drill)",yn,,19.5,
DISTURBANCE,LIVESTOCK_TANKS,character,,1,45,45,"Livestock tanks, spring development",yn,,19.5,
DISTURBANCE,LIVESTOCK_HEAVY_USE,character,,1,47,47,Livestock heavy use area,yn,,19.5,
DISTURBANCE,LIVESTOCK_GRAZING,character,,1,49,49,Livestock grazing,yn,,19.5,
DISTURBANCE,INSECTS,character,,1,51,51,Insects,yn,,19.5,
DISTURBANCE,SMALL_RODENTS,character,,1,53,53,Rodents,yn,,19.5,
DISTURBANCE,NON_RODENT_ANIMALS,character,,1,55,55,Non-rodent animals,yn,,19.5,
DISTURBANCE,WILDLIFE_GRAZING,character,,1,57,57,Wildlife grazing impacts,yn,,19.5,
DISTURBANCE,MINING_EQUIPMENT_OPERATIONS,character,,1,59,59,Mining/energy/equip. and operations,yn,,19.5,
DISTURBANCE,RECREATION_FOOT_TRAFFIC,character,,1,61,61,"Recreation (trails, foot traffic)",yn,,19.5,
DISTURBANCE,RECREATION_VEHICLES_BIKES,character,,1,63,63,"Recreation (vehicles, bikes)",yn,,19.5,
DISTURBANCE,LIVESTOCK_WALKWAYS,character,,1,65,65,"Livestock walkway, trailing",yn,,19.5,
DISTURBANCE,ROADS_DIRT,character,,1,67,67,Roads/lanes (dirt),yn,,19.5,
DISTURBANCE,ROADS_GRAVEL,character,,1,69,69,Roads/lanes (gravel),yn,,19.5,
DISTURBANCE,ROADS_PAVED,character,,1,71,71,Roads/lanes (paved),yn,,19.5,
DISTURBANCE,DRAINAGE,character,,1,73,73,Drainage or field ditch,yn,,19.5,
DISTURBANCE,UNDERGROUND_UTILITIES,character,,1,75,75,Underground utilities,yn,,19.5,
DISTURBANCE,OVERHEAD_TRANSMISSION_LINES,character,,1,77,77,Overhead transmission,yn,,19.5,
DISTURBANCE,CONSTRUCTION,character,,1,79,79,"Construction activities (fence, pipeline, terraces, etc.)",yn,,19.5,
DISTURBANCE,WATER_PONDING,character,,1,81,81,"Water, flooding/ponding",yn,,19.5,
DISTURBANCE,SOIL_DEPOSITION_WATER,character,,1,83,83,Soil deposition - water,yn,,19.5,
DISTURBANCE,SOIL_DEPOSITION_WIND,character,,1,85,85,Soil deposition - wind,yn,,19.5,
DISTURBANCE,WATER,character,,1,87,87,Water erosion,yn,,19.5,
DISTURBANCE,WIND,character,,1,89,89,Wind erosion,yn,,19.5,
DISTURBANCE,TRANSPORTED_FILL,character,,1,91,91,Transported fill material,yn,,19.5,
DISTURBANCE,WILDFIRE,character,,1,93,93,Wildfire,yn,,19.5,
DISTURBANCE,PRESCRIBED_FIRE,character,,1,95,95,Prescribed fire,yn,,19.5,
DISTURBANCE,FIRE_FIGHTING_OPERATIONS,character,,1,97,97,"Fire fighting (machinery, clearing)",yn,,19.5,
DISTURBANCE,BRUSH_MANAGEMENT_CHEMICAL,character,,1,99,99,Brush control (chemical),yn,,19.5,
DISTURBANCE,BRUSH_MANAGEMENT_MECHANICAL,character,,1,101,101,Brush control (mechanical),yn,,19.5,
DISTURBANCE,BRUSH_MANAGEMENT_BIOLOGICAL,character,,1,103,103,Brush mgmt. biological treatment,yn,,19.5,
DRYWEIGHTRANK,SURVEY,numeric,,4,1,4,Sample survey year,,,,
DRYWEIGHTRANK,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
DRYWEIGHTRANK,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
DRYWEIGHTRANK,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
DRYWEIGHTRANK,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
DRYWEIGHTRANK,SEQNUM,numeric,,2,25,26,Sequence numeric,,,,
DRYWEIGHTRANK,RPLANT,character,,7,28,34,Plant symbol from plants database,plant symbol or unknownplantprefix + sequence numeric,,13.5,
DRYWEIGHTRANK,DWR0125NESW,numeric,,1,36,26,Rank for quadrat at the 12.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0250NESW,numeric,,1,38,38,Rank for quadrat at the 25.0 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0375NESW,numeric,,1,40,40,Rank for quadrat at the 37.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0500NESW,numeric,,1,42,42,Rank for quadrat at the 50.0 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0625NESW,numeric,,1,44,44,Rank for quadrat at the 62.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0875NESW,numeric,,1,46,46,Rank for quadrat at the 87.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1000NESW,numeric,,1,48,48,Rank for quadrat at the 100.0 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1125NESW,numeric,,1,50,50,Rank for quadrat at the 112.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1250NESW,numeric,,1,52,52,Rank for quadrat at the 125.0 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1375NESW,numeric,,1,54,54,Rank for quadrat at the 137.5 foot mark of the northeast to southwest transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0125NWSE,numeric,,1,56,56,Rank for quadrat at the 12.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0250NWSE,numeric,,1,58,58,Rank for quadrat at the 25.0 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0375NWSE,numeric,,1,60,60,Rank for quadrat at the 37.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0500NWSE,numeric,,1,62,62,Rank for quadrat at the 50.0 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0625NWSE,numeric,,1,64,64,Rank for quadrat at the 62.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR0875NWSE,numeric,,1,66,66,Rank for quadrat at the 87.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1000NWSE,numeric,,1,68,68,Rank for quadrat at the 100.0 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1125NWSE,numeric,,1,70,70,Rank for quadrat at the 112.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1250NWSE,numeric,,1,72,72,Rank for quadrat at the 125.0 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,DWR1375NWSE,numeric,,1,74,74,Rank for quadrat at the 137.5 foot mark of the northwest to southeast transect,dwrank,,13.5,
DRYWEIGHTRANK,PERCENT_COMPOSITION,numeric,,3,76,78,Percent composition calculated for this plant,0-100,,13.5,
ESFSG,SURVEY,numeric,,1,1,4,Sample survey year,,,,
ESFSG,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
ESFSG,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
ESFSG,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
ESFSG,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
ESFSG,SEQNUM,numeric,,2,25,26,Sequence numeric,,,,
ESFSG,COVERAGE,character,,4,28,31,Transect(s) for this ecological site,coverage,,8.6,
ESFSG,START_MARK,numeric,,3,33,35,"Position along transect line where this Ecological site or Forage Suitability Group starts, blank if coverage is ""all""",0-149,,8.6,
ESFSG,END_MARK,numeric,,3,37,39,"Position along transect line where this Ecological Site or Forage Suitability Group ends, blank if coverage is ""all""",1-150,,8.6,
ESFSG,ESFSG_STATE,character,,2,41,42,Two character capitalized state postal code or one of esfsgstateex codes,state or esfsgstateex,,8.6,
ESFSG,ESFSG_MLRA,character,,4,44,47,"4 digit MLRA part of the Ecological Site code, should be MLRA valid for state or neighboring state","[0-9][0-9][0-9][A-E,X]",,8.6,
ESFSG,ESFSG_SITE,character,,4,49,52,4 digit site part of the Ecological Site code,[A-Z][0-9][0-9][0-9],,8.6,
ESFSG,ESFSG_NAME,character,,88,54,141,Ecological Site or Forage Suitability Group name (for user entered codes),,,8.6,
GINTERCEPT,SURVEY,numeric,,4,1,4,Sample survey year,,,,
GINTERCEPT,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
GINTERCEPT,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
GINTERCEPT,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
GINTERCEPT,POINT,numeric,,3,21,23,Point numeric within the segment,3-Jan,,,
GINTERCEPT,TRANSECT,character,,4,25,28,Transect,transect,,,
GINTERCEPT,GAP_TYPE,character,,6,30,35,Gap type,gaptype,,10,Perennial canopy gaps added for 2012 survey
GINTERCEPT,SEQNUM,numeric,,2,37,38,Sequence numeric,,,10,
GINTERCEPT,START_GAP,numeric,1,5,40,44,Measurement at the start of the gap,0.0-150.0,,10,
GINTERCEPT,END_GAP,numeric,1,5,46,50,Measurement at the end of the gap,0.0-150.0,,10,
GPS,SURVEY,numeric,,4,1,4,Sample survey year,,,,
GPS,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
GPS,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
GPS,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
GPS,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
GPS,NOGPS,character,,12,25,36,Field GPS position result,nogps,,3.5,
GPS,CAPDATE,character,,16,38,53,"Capture date and time in UTC if from GPS, otherwise just manually entered date",,,3.5,
GPS,ELEVATION,numeric,,5,55,59,Elevation in feet,,,3.5,
GPS,FIELD_VISIT,character,,12,61,72,Field visit,fieldvisit,Added for 2014,3.5,
PASTUREHEIGHTS,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PASTUREHEIGHTS,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
PASTUREHEIGHTS,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
PASTUREHEIGHTS,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PASTUREHEIGHTS,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PASTUREHEIGHTS,TRANSECT,character,,4,25,28,Transect,transect,,,
PASTUREHEIGHTS,DISTANCE,numeric,,3,30,32,Distance down transect line of measurement,15-145 by 10's,,12.5,
PASTUREHEIGHTS,HPLANT,character,,7,34,40,Plant symbol from the plant database of the tallest herbaceous plant within 12-inch diameter vertical cylinder or None if no plant within cylinder,"plant symbol or unknownplantprefix + sequence numeric or ""None""",,12.5,
PASTUREHEIGHTS,HEIGHT,character,,8,42,49,Height of the tallest herbaceous plant,plantheight,,12.5,
PASTUREHEIGHTS,WPLANT,character,,7,51,57,Plant symbol from the plants database of the tallest woody plant within 12-inch diameter vertical cylinder or None if no plant within cylinder,"plant symbol or unknownplantprefix + sequence numeric or ""None""",Added for 2011,12.5,
PASTUREHEIGHTS,WHEIGHT,character,,8,59,66,Height of the tallest woody plant,plantheight,Added for 2011,12.5,
PINTERCEPT,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PINTERCEPT,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
PINTERCEPT,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
PINTERCEPT,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PINTERCEPT,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PINTERCEPT,TRANSECT,character,,4,25,28,Transect,transect,,,
PINTERCEPT,MARK,numeric,,3,30,32,Distance down transect line of line-point intercept measurement,0-150 by 3's,,9.5,
PINTERCEPT,HIT1,character,,7,34,40,"Plant symbol from the plants database of the first intercepted plant, Top Canopy","""None"" or plant symbol or unknownplantprefix + sequence numeric",,9.5,
PINTERCEPT,HIT2,character,,7,42,48,Plant symbol from the plants database of the second intercepted plant or litter,hitlitter or plant symbol or unknownplantprefix + sequence numeric,,9.5,
PINTERCEPT,HIT3,character,,7,50,56,Plant symbol from the plants database of the third intercepted plant or litter,hitlitter or plant symbol or unknownplantprefix + sequence numeric,,9.5,
PINTERCEPT,HIT4,character,,7,58,64,Plant symbol from the plants database of the fourth intercepted plant or litter,hitlitter or plant symbol or unknownplantprefix + sequence numeric,,9.5,
PINTERCEPT,HIT5,character,,7,66,72,Plant symbol from the plants database of the fifth intercepted plant or litter,hitlitter or plant symbol or unknownplantprefix + sequence numeric,,9.5,
PINTERCEPT,HIT6,character,,7,74,80,Plant symbol from the plants database of the sixth intercepted plant or litter,hitlitter or plant symbol or unknownplantprefix + sequence numeric,,9.5,
PINTERCEPT,BASAL,character,,7,82,88,Plant symbol from the plants database of the plant or other intercepted at the soil surface,"""None"" or onsoil or plant symbol or unknownplantprefix + sequence numeric",,9.5,
PINTERCEPT,NONSOIL,character,,2,90,91,Basal intercept that is not soil,nonsoil,,9.5,
PINTERCEPT,SAGEBRUSH_SHAPE,numeric,,1,93,93,Predominate shape of sagebrush plant,sageshape,Added for 2011,22.5,
PINTERCEPT,SAGEBRUSH_PLANT,character,,7,95,101,Species of sagebrush plant,sageplant,Added for 2015,22.5,Changed from choice list to plants database-like access in 2019 that also added synonyms to the list
PLANTCENSUS,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PLANTCENSUS,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
PLANTCENSUS,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
PLANTCENSUS,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PLANTCENSUS,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PLANTCENSUS,SEQNUM,numeric,,2,25,26,Sequence numeric,,,,
PLANTCENSUS,CPLANT,character,,7,28,34,Plant symbol from the plants database of a plant found in the macroplot,plant symbol or unknownplantprefix + sequence numeric,,16.5,
PLANTCENSUS,DENSITY,numeric,,1,36,36,Estimated tally for this plant,density,,16.5,Density not collected in 2015
POINT,SURVEY,numeric,,4,1,4,Sample survey year,,,,
POINT,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
POINT,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
POINT,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
POINT,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
POINT,MLRA,character,,4,25,28,Major Land Resource Area (MLRA),,,,Prefilled and non-editable values prior to 2014 are from an old overlay
POINT,OWN,character,,3,30,32,Type of ownership of the land where point is located,own,Length changed from 1 to 3 for 2014,5,Current choices depend on sample type (BLM vs non-federal)
POINT,LANDUSE,numeric,,4,34,37,Land cover/use,landuse,,6,
POINT,VERTICAL_SLOPE_SHAPE,character,,7,39,45,Soil - Vertical slope shape,slopeshape,,7.7,
POINT,HORIZONTAL_SLOPE_SHAPE,character,,7,47,53,Soil - Horizontal slope shape,slopeshape,,7.8,
POINT,SLOPE_PERCENT,numeric,1,4,55,58,Soil - Slope percent,0 to 1 by 0.1 and 1 to 99 by 1,,7.9,
POINT,SSAID,character,,5,60,64,Soil - Soil Survey Area ID,,,7.6,"Prefilled and non-editable starting in 2012, editable choice list prior to 2012"
POINT,MUSYM,character,,6,66,71,Soil - Map unit symbol used to identify the area in which the point falls,,,7.6,Prefilled and non-editable starting in 2012
POINT,COMPONENT_NAME,character,,100,73,172,Soil - Soil component name,,Length changed from 60 to 100 for 2012,7.6,Prior to 2009 is optional; 2009-2011 is required; 2012 and later is filled and non-editable when component_chosen='Y' otherwise editable and optional
POINT,COMPONENT_ID,character,,15,174,188,Soil - Soil component NASIS ID numeric,,Length changed from 12 to 15 for 2012,7.6,Prior to 2009 is optional; 2009-2011 is required; 2012 and later is filled and non-editable when component_chosen='Y' otherwise editable and optional
POINT,ECO_SITE_1992,character,,10,190,199,Eco Site/FSG - Ecological site numeric from the 1992 NRI,,,8,"Prefilled and non-editable, not used after 2011"
POINT,FULL_ESD_PLOT,character,,1,201,201,Eco Site/FSG - Use plot for ESD/FSG,yn,,8.7,
POINT,APPARENT_TREND,character,,6,203,208,Eco Site/FSG - Apparent rangeland trend,appartrend,,8.8,
POINT,BASAL_GAPS_NESW,character,,1,210,210,Gap Intercept - Are there any basal gaps on the northeast to southwest transect?,yn,,10,
POINT,CANOPY_GAPS_NESW,character,,1,212,212,Gap Intercept - Are there any canopy gaps on the northeast to southwest transect?,yn,,10,
POINT,BASAL_GAPS_NWSE,character,,1,214,214,Gap Intercept - Are there any basal gaps on the northwest to southeast transect?,yn,,10,
POINT,CANOPY_GAPS_NWSE,character,,1,216,216,Gap Intercept - Are there any canopy gaps on the northwest to southeast transect?,yn,,10,
POINT,PLOT_SIZE_HERB,character,,4,218,221,Production parameters - Plot size used for herbaceous plant harvesting,plotsize,,14.5,
POINT,TOT_ANN_PROD,numeric,,6,223,228,Production parameters - Total annual production from the ESD,,,14.5,
POINT,SIMILARITY_INDEX,numeric,1,5,230,234,Production parameters - Calculated similarity index,,,14.5,
POINT,PTSTATUS,character,,2,236,237,Completion status of the point,ptstatus,,,
POINT,SOIL_CONFIDENCE_RATING,numeric,,1,239,239,Soil - Confidence rating,soilconfrate,,7.6,
POINT,SLOPE_LENGTH,numeric,,4,241,244,Soil - Slope length,,,7.1,
POINT,SLOPE_ASPECT,character,,2,246,247,Soil - Slope aspect,aspect,,7.11,
POINT,BIOMASS_PLOT_SIZE_HERB,character,,4,249,252,Biomass parameters - Herbaceous plot size,plotsize,,15.5.2,
POINT,BIOMASS_PLOT_METHOD,character,,10,254,263,Biomass parameters - Dry weight determination method,plotmethod,,15.5.2,
POINT,BIOMASS_WOODY_METHOD,character,,9,265,273,Biomass parameters - Woody biomass method,woodymethod,,15.5.2,Harvest not allowed after 2015
POINT,GRAZING_USE,numeric,,1,275,275,Eco Site/FSG - Grazing use,grazinguse,,8.9,
POINT,HAYED,character,,1,277,277,Eco Site/FSG - Hayed,yn,,8.9,
POINT,OPT_SSI_PASTURE,character,,1,279,279,Optional protocols - Collect data on Pasture points for Soil Stability Indicator,yn,,A.2.1.2.6,
POINT,OPT_DWR_PASTURE,character,,1,281,281,Optional protocols - Collect data on Pasture points for Dry Weight Rank,yn,,A.2.1.2.6,
POINT,OPT_DWR_RANGE,character,,1,283,283,Optional protocols - Collect data on Range points for Dry Weight Rank,yn,,A.2.1.2.6,
